accession_without_version	reject_reason
NZ_CP091158.1	No 16S rRNA genes
NZ_CP091159.1	No 16S rRNA genes
NZ_CP091160.1	No 16S rRNA genes
NZ_CP091161.1	No 16S rRNA genes
NZ_CP091162.1	No 16S rRNA genes
NZ_CP091163.1	No 16S rRNA genes
NZ_CP091164.1	No 16S rRNA genes
NZ_CP091165.1	No 16S rRNA genes
NZ_CP091156.1	No 16S rRNA genes
NZ_CP091298.1	No 16S rRNA genes
NZ_CP091166.1	No 16S rRNA genes
NZ_CP091167.1	No 16S rRNA genes
NZ_CP091168.1	No 16S rRNA genes
NZ_CP091169.1	No 16S rRNA genes
NZ_CP091170.1	No 16S rRNA genes
NZ_CP091171.1	No 16S rRNA genes
NZ_CP059596.1	No 16S rRNA genes
NZ_CP089529.1	No 16S rRNA genes
NZ_CP089528.1	No 16S rRNA genes
NZ_CP089527.1	No 16S rRNA genes
NZ_CP089526.1	No 16S rRNA genes
NZ_CP089525.1	No 16S rRNA genes
NZ_CP089524.1	No 16S rRNA genes
NZ_CP089523.1	No 16S rRNA genes
NZ_CP089522.1	No 16S rRNA genes
NZ_CP089521.1	No 16S rRNA genes
NZ_CP085279.1	No 16S rRNA genes
NZ_CP087980.1	No 16S rRNA genes
NZ_CP076358.1	No 16S rRNA genes
NZ_CP076360.1	No 16S rRNA genes
NZ_CP084679.1	No 16S rRNA genes
NZ_CP084678.1	No 16S rRNA genes
NZ_CP088968.1	No 16S rRNA genes
NZ_OU943322.1	No 16S rRNA genes
NZ_OU943321.1	No 16S rRNA genes
NZ_CP084682.1	No 16S rRNA genes
NZ_CP083985.1	No 16S rRNA genes
NZ_CP083986.1	No 16S rRNA genes
NZ_CP082965.1	No 16S rRNA genes
NZ_CP082189.1	No 16S rRNA genes
NZ_CP082190.1	No 16S rRNA genes
NZ_CP082191.1	No 16S rRNA genes
NZ_CP068729.1	No 16S rRNA genes
NZ_CP063183.1	No 16S rRNA genes
NZ_CP080031.1	No 16S rRNA genes
NZ_LR735282.1	No 16S rRNA genes
NZ_CP077759.1	No 16S rRNA genes
NZ_CP076465.1	No 16S rRNA genes
NZ_FR989682.1	No 16S rRNA genes
NZ_FR989681.1	No 16S rRNA genes
NZ_FR989680.1	No 16S rRNA genes
NZ_FR989679.1	No 16S rRNA genes
NZ_FR989722.1	No 16S rRNA genes
NZ_FR989721.1	No 16S rRNA genes
NZ_FR989720.1	No 16S rRNA genes
NZ_FR989719.1	No 16S rRNA genes
NZ_FR989726.1	No 16S rRNA genes
NZ_FR989725.1	No 16S rRNA genes
NZ_FR989724.1	No 16S rRNA genes
NZ_FR989723.1	No 16S rRNA genes
NZ_FR989702.1	No 16S rRNA genes
NZ_FR989701.1	No 16S rRNA genes
NZ_FR989700.1	No 16S rRNA genes
NZ_FR989699.1	No 16S rRNA genes
NZ_FR989718.1	No 16S rRNA genes
NZ_FR989717.1	No 16S rRNA genes
NZ_FR989716.1	No 16S rRNA genes
NZ_FR989715.1	No 16S rRNA genes
NZ_FR989750.1	No 16S rRNA genes
NZ_FR989749.1	No 16S rRNA genes
NZ_FR989748.1	No 16S rRNA genes
NZ_FR989747.1	No 16S rRNA genes
NZ_FR989742.1	No 16S rRNA genes
NZ_FR989741.1	No 16S rRNA genes
NZ_FR989740.1	No 16S rRNA genes
NZ_FR989739.1	No 16S rRNA genes
NZ_FR989810.1	No 16S rRNA genes
NZ_FR989809.1	No 16S rRNA genes
NZ_FR989808.1	No 16S rRNA genes
NZ_FR989807.1	No 16S rRNA genes
NZ_FR989790.1	No 16S rRNA genes
NZ_FR989789.1	No 16S rRNA genes
NZ_FR989788.1	No 16S rRNA genes
NZ_FR989787.1	No 16S rRNA genes
NZ_CP076083.1	No 16S rRNA genes
NZ_CP048105.1	No 16S rRNA genes
NZ_CP072195.1	No 16S rRNA genes
NZ_CP072194.1	No 16S rRNA genes
NZ_CP072193.1	No 16S rRNA genes
NZ_CP072321.1	No 16S rRNA genes
NZ_CP072320.1	No 16S rRNA genes
NZ_CP072319.1	No 16S rRNA genes
NZ_CP072318.1	No 16S rRNA genes
NZ_CP071520.1	No 16S rRNA genes
NZ_CP050702.1	No 16S rRNA genes
NZ_CP050701.1	No 16S rRNA genes
NZ_CP070380.1	No 16S rRNA genes
NZ_CP069237.1	No 16S rRNA genes
NZ_CP069236.1	No 16S rRNA genes
NZ_CP068391.1	No 16S rRNA genes
NZ_CP051845.1	No 16S rRNA genes
NZ_CP051841.1	No 16S rRNA genes
NZ_CP066159.1	No 16S rRNA genes
NZ_CP066158.1	No 16S rRNA genes
NZ_CP066157.1	No 16S rRNA genes
NZ_CP066156.1	No 16S rRNA genes
NZ_CP064920.1	No 16S rRNA genes
NZ_CP051886.1	No 16S rRNA genes
NZ_CP051888.1	No 16S rRNA genes
NZ_CP051889.1	No 16S rRNA genes
NZ_CP051890.1	No 16S rRNA genes
NZ_CP054206.2	No 16S rRNA genes
NZ_CP058257.1	No 16S rRNA genes
NZ_CP023708.2	No 16S rRNA genes
NZ_LR812493.1	No 16S rRNA genes
NZ_LR812492.1	No 16S rRNA genes
NZ_CP040394.1	No 16S rRNA genes
NZ_CP040395.1	No 16S rRNA genes
NZ_CP054594.1	No 16S rRNA genes
NZ_CP053214.1	No 16S rRNA genes
NZ_CP053108.1	No 16S rRNA genes
NZ_CP053087.1	No 16S rRNA genes
NZ_CP053025.1	No 16S rRNA genes
NZ_CP024770.1	No 16S rRNA genes
NZ_CP024769.1	No 16S rRNA genes
NZ_CP024768.1	No 16S rRNA genes
NZ_CP047519.1	No 16S rRNA genes
NZ_CP047518.1	No 16S rRNA genes
NZ_CP047501.1	No 16S rRNA genes
NZ_CP047500.1	No 16S rRNA genes
NZ_CP047499.1	No 16S rRNA genes
NZ_CP047498.1	No 16S rRNA genes
NZ_CP047497.1	No 16S rRNA genes
NZ_CP047496.1	No 16S rRNA genes
NZ_CP047503.1	No 16S rRNA genes
NZ_CP047502.1	No 16S rRNA genes
NZ_CP047513.1	No 16S rRNA genes
NZ_CP047512.1	No 16S rRNA genes
NZ_CP047517.1	No 16S rRNA genes
NZ_CP047516.1	No 16S rRNA genes
NZ_CP047515.1	No 16S rRNA genes
NZ_CP047514.1	No 16S rRNA genes
NZ_CP047509.1	No 16S rRNA genes
NZ_CP047508.1	No 16S rRNA genes
NZ_CP045928.1	No 16S rRNA genes
NZ_CP034671.1	No 16S rRNA genes
NZ_CP042152.1	No 16S rRNA genes
NZ_CP042151.1	No 16S rRNA genes
NZ_CP042150.1	No 16S rRNA genes
NZ_CP042149.1	No 16S rRNA genes
NZ_CP042148.1	No 16S rRNA genes
NZ_CP042147.1	No 16S rRNA genes
NZ_CP042146.1	No 16S rRNA genes
NZ_CP042145.1	No 16S rRNA genes
NZ_CP042144.1	No 16S rRNA genes
NZ_CP042143.1	No 16S rRNA genes
NZ_CP042142.1	No 16S rRNA genes
NZ_CP042141.1	No 16S rRNA genes
NZ_CP042140.1	No 16S rRNA genes
NZ_CP042139.1	No 16S rRNA genes
NZ_CP042138.1	No 16S rRNA genes
NZ_CP042137.1	No 16S rRNA genes
NZ_CP042136.1	No 16S rRNA genes
NZ_CP042135.1	No 16S rRNA genes
NZ_CP042134.1	No 16S rRNA genes
NZ_CP042133.1	No 16S rRNA genes
NZ_CP042132.1	No 16S rRNA genes
NZ_CP042131.1	No 16S rRNA genes
NZ_CP042130.1	No 16S rRNA genes
NZ_CP042129.1	No 16S rRNA genes
NZ_CP042128.1	No 16S rRNA genes
NZ_CP042127.1	No 16S rRNA genes
NZ_CP042126.1	No 16S rRNA genes
NZ_CP042125.1	No 16S rRNA genes
NZ_CP042124.1	No 16S rRNA genes
NZ_CP042123.1	No 16S rRNA genes
NZ_CP042122.1	No 16S rRNA genes
NZ_CP042121.1	No 16S rRNA genes
NZ_CP042120.1	No 16S rRNA genes
NZ_CP042119.1	No 16S rRNA genes
NZ_CP042118.1	No 16S rRNA genes
NZ_CP042117.1	No 16S rRNA genes
NZ_CP042116.1	No 16S rRNA genes
NZ_CP042115.1	No 16S rRNA genes
NZ_CP042114.1	No 16S rRNA genes
NZ_CP042113.1	No 16S rRNA genes
NZ_CP042112.1	No 16S rRNA genes
NZ_CP042111.1	No 16S rRNA genes
NZ_CP042110.1	No 16S rRNA genes
NZ_CP043911.1	No 16S rRNA genes
NZ_CP043915.1	No 16S rRNA genes
NZ_CP043917.1	No 16S rRNA genes
NZ_LR698971.1	No 16S rRNA genes
NZ_CP031773.1	No 16S rRNA genes
NZ_CP034454.1	No 16S rRNA genes
NZ_CP034455.1	No 16S rRNA genes
NZ_CP032541.1	No 16S rRNA genes
NZ_CP032540.1	No 16S rRNA genes
NZ_CP030139.1	No 16S rRNA genes
NZ_CP008766.1	No 16S rRNA genes
NZ_CP008767.1	No 16S rRNA genes
NZ_CP008769.1	No 16S rRNA genes
NZ_CP008771.1	No 16S rRNA genes
NZ_CP008772.1	No 16S rRNA genes
NZ_LT976981.1	No 16S rRNA genes
NZ_LT976979.1	No 16S rRNA genes
NZ_LT976980.1	No 16S rRNA genes
NZ_LT976998.1	No 16S rRNA genes
NZ_LT976994.1	No 16S rRNA genes
NZ_CP031536.1	No 16S rRNA genes
NZ_CP031535.1	No 16S rRNA genes
NZ_CP022198.1	No 16S rRNA genes
NZ_CP029600.1	No 16S rRNA genes
NZ_LT984413.1	No 16S rRNA genes
NZ_LT984412.1	No 16S rRNA genes
NZ_LT984411.1	No 16S rRNA genes
NZ_LT984416.1	No 16S rRNA genes
NZ_LT984415.1	No 16S rRNA genes
NZ_LT984414.1	No 16S rRNA genes
NZ_CP028420.1	No 16S rRNA genes
NZ_CP028422.1	No 16S rRNA genes
NZ_CP028423.1	No 16S rRNA genes
NZ_CP028421.1	No 16S rRNA genes
NZ_CP028305.1	No 16S rRNA genes
NZ_CP028306.1	No 16S rRNA genes
NZ_CP028307.1	No 16S rRNA genes
NZ_CP028308.1	No 16S rRNA genes
NZ_CP028310.1	No 16S rRNA genes
NZ_CP028301.1	No 16S rRNA genes
NZ_CP026376.1	No 16S rRNA genes
NZ_CP026498.1	No 16S rRNA genes
NZ_CP026521.1	No 16S rRNA genes
NZ_CP008765.1	No 16S rRNA genes
NZ_CP019078.1	No 16S rRNA genes
NZ_CP019077.1	No 16S rRNA genes
NZ_CP019337.1	No 16S rRNA genes
NZ_CP019336.1	No 16S rRNA genes
NZ_CP023727.1	No 16S rRNA genes
NZ_CP023172.1	No 16S rRNA genes
NZ_CP023171.1	No 16S rRNA genes
NZ_CP023200.1	No 16S rRNA genes
NZ_CP023201.1	No 16S rRNA genes
NZ_CP017106.1	No 16S rRNA genes
NZ_CP008773.1	No 16S rRNA genes
NZ_CP022311.1	No 16S rRNA genes
NZ_CP011218.1	No 16S rRNA genes
NZ_CP011219.1	No 16S rRNA genes
NZ_CP011220.1	No 16S rRNA genes
NZ_CP011221.1	No 16S rRNA genes
NZ_CP011222.1	No 16S rRNA genes
NZ_CP011225.1	No 16S rRNA genes
NZ_CP011226.1	No 16S rRNA genes
NZ_CP011227.1	No 16S rRNA genes
NZ_CP011228.1	No 16S rRNA genes
NZ_CP011230.1	No 16S rRNA genes
NZ_CP011231.1	No 16S rRNA genes
NZ_CP011500.1	No 16S rRNA genes
NZ_CP011499.1	No 16S rRNA genes
NZ_CP011498.1	No 16S rRNA genes
NZ_CP011497.1	No 16S rRNA genes
NC_022588.1	No 16S rRNA genes
NZ_HG977529.1	No 16S rRNA genes
NZ_HG977528.1	No 16S rRNA genes
NZ_HG977527.1	No 16S rRNA genes
NZ_HG977525.1	No 16S rRNA genes
NZ_HG977524.1	No 16S rRNA genes
NZ_HG977523.1	No 16S rRNA genes
NZ_CP008960.1	No 16S rRNA genes
NZ_CP008961.1	No 16S rRNA genes
NZ_CP008968.1	No 16S rRNA genes
NZ_CP008970.1	No 16S rRNA genes
NZ_CP008981.1	No 16S rRNA genes
NZ_CP008982.1	No 16S rRNA genes
NC_023055.1	No 16S rRNA genes
NC_023071.1	No 16S rRNA genes
NC_023072.1	No 16S rRNA genes
NC_023056.1	No 16S rRNA genes
NC_022785.1	No 16S rRNA genes
NC_012204.1	No 16S rRNA genes
NC_012185.1	No 16S rRNA genes
NC_012177.1	No 16S rRNA genes
NC_012166.1	No 16S rRNA genes
NC_012180.1	No 16S rRNA genes
NC_012169.1	No 16S rRNA genes
NC_012133.1	No 16S rRNA genes
NC_012130.1	No 16S rRNA genes
NC_012131.1	No 16S rRNA genes
NC_012129.1	No 16S rRNA genes
NC_012128.1	No 16S rRNA genes
NC_021017.1	No 16S rRNA genes
NC_021038.1	No 16S rRNA genes
NC_021042.1	No 16S rRNA genes
NC_014797.1	No 16S rRNA genes
NC_014796.1	No 16S rRNA genes
NC_009506.1	No 16S rRNA genes
