accession_without_version	reject_reason
GCF_905400275.1	No 16S rRNA genes
GCF_905400305.1	No 16S rRNA genes
GCF_905400315.1	No 16S rRNA genes
GCF_905400385.1	No 16S rRNA genes
GCF_905400355.1	No 16S rRNA genes
GCF_905400515.1	No 16S rRNA genes
GCF_905400505.1	No 16S rRNA genes
GCF_018224865.2	No 16S rRNA genes
GCF_018336595.1	No 16S rRNA genes
GCF_017916235.1	No 16S rRNA genes
GCF_017742755.1	No 16S rRNA genes
GCF_017356645.1	No 16S rRNA genes
GCF_017310175.1	No 16S rRNA genes
GCF_016919645.1	No 16S rRNA genes
GCF_016834555.1	No 16S rRNA genes
GCF_016757615.1	No 16S rRNA genes
GCF_016454885.1	No 16S rRNA genes
GCF_016454945.1	No 16S rRNA genes
GCF_016132465.1	No 16S rRNA genes
GCF_015678935.1	No 16S rRNA genes
GCF_015239335.1	No 16S rRNA genes
GCF_015239375.1	No 16S rRNA genes
GCF_015239395.1	No 16S rRNA genes
GCF_015239415.1	No 16S rRNA genes
GCF_013285265.2	No 16S rRNA genes
GCF_014775635.1	No 16S rRNA genes
GCF_002504245.2	No 16S rRNA genes
GCF_900009275.2	No 16S rRNA genes
GCF_013393965.1	No 16S rRNA genes
GCF_013393985.1	No 16S rRNA genes
GCF_013347185.1	No 16S rRNA genes
GCF_013075385.1	No 16S rRNA genes
GCF_013009075.1	No 16S rRNA genes
GCF_013004025.1	No 16S rRNA genes
GCF_013000965.1	No 16S rRNA genes
GCF_011395035.1	No 16S rRNA genes
GCF_009884035.1	No 16S rRNA genes
GCF_009884055.1	No 16S rRNA genes
GCF_009884075.1	No 16S rRNA genes
GCF_009884095.1	No 16S rRNA genes
GCF_009884115.1	No 16S rRNA genes
GCF_009884195.1	No 16S rRNA genes
GCF_009884235.1	No 16S rRNA genes
GCF_009884255.1	No 16S rRNA genes
GCF_009884275.1	No 16S rRNA genes
GCF_009664855.1	No 16S rRNA genes
GCF_009259725.1	No 16S rRNA genes
GCF_008630675.1	No 16S rRNA genes
GCF_008630735.1	No 16S rRNA genes
GCF_008630815.1	No 16S rRNA genes
GCF_902381795.1	No 16S rRNA genes
GCF_007923505.1	No 16S rRNA genes
GCF_003952565.1	No 16S rRNA genes
GCF_003952605.1	No 16S rRNA genes
GCF_003952745.1	No 16S rRNA genes
GCF_003952765.1	No 16S rRNA genes
GCF_003433435.1	No 16S rRNA genes
GCF_003433455.1	No 16S rRNA genes
GCF_003433495.1	No 16S rRNA genes
GCF_003433575.1	No 16S rRNA genes
GCF_003433595.1	No 16S rRNA genes
GCF_900249925.1	No 16S rRNA genes
GCF_900249905.1	No 16S rRNA genes
GCF_900249915.1	No 16S rRNA genes
GCF_900250005.1	No 16S rRNA genes
GCF_900249965.1	No 16S rRNA genes
GCF_003391235.1	No 16S rRNA genes
GCF_003293465.1	No 16S rRNA genes
GCF_003177275.1	No 16S rRNA genes
GCF_900258435.1	No 16S rRNA genes
GCF_900258445.1	No 16S rRNA genes
GCF_003045645.1	No 16S rRNA genes
GCF_003045665.1	No 16S rRNA genes
GCF_003045685.1	No 16S rRNA genes
GCF_003045705.1	No 16S rRNA genes
GCF_003028715.1	No 16S rRNA genes
GCF_003028735.1	No 16S rRNA genes
GCF_003028755.1	No 16S rRNA genes
GCF_003028775.1	No 16S rRNA genes
GCF_003028815.1	No 16S rRNA genes
GCF_003030325.1	No 16S rRNA genes
GCF_002952815.1	No 16S rRNA genes
GCF_002953255.1	No 16S rRNA genes
GCF_002953915.1	No 16S rRNA genes
GCF_002953995.1	No 16S rRNA genes
GCF_002850335.1	No 16S rRNA genes
GCF_002814055.1	No 16S rRNA genes
GCF_002814075.1	No 16S rRNA genes
GCF_002290125.1	No 16S rRNA genes
GCF_002290225.1	No 16S rRNA genes
GCF_002290265.1	No 16S rRNA genes
GCF_002287985.1	No 16S rRNA genes
GCF_002240265.1	No 16S rRNA genes
GCF_002215605.1	No 16S rRNA genes
GCF_001043155.1	No 16S rRNA genes
GCF_001043195.1	No 16S rRNA genes
GCF_001043235.1	No 16S rRNA genes
GCF_001043275.1	No 16S rRNA genes
GCF_001043315.1	No 16S rRNA genes
GCF_001043375.1	No 16S rRNA genes
GCF_001043395.1	No 16S rRNA genes
GCF_001043415.1	No 16S rRNA genes
GCF_001043435.1	No 16S rRNA genes
GCF_001043475.1	No 16S rRNA genes
GCF_001043495.1	No 16S rRNA genes
GCF_001027185.1	No 16S rRNA genes
GCF_000970375.1	No 16S rRNA genes
GCF_000820685.1	No 16S rRNA genes
GCF_000820665.1	No 16S rRNA genes
GCF_000735815.1	No 16S rRNA genes
GCF_000735835.1	No 16S rRNA genes
GCF_000735975.1	No 16S rRNA genes
GCF_000736015.1	No 16S rRNA genes
GCF_000736235.1	No 16S rRNA genes
GCF_000736255.1	No 16S rRNA genes
GCF_000513415.1	No 16S rRNA genes
GCF_000513395.1	No 16S rRNA genes
GCF_000513355.1	No 16S rRNA genes
GCF_000418455.1	No 16S rRNA genes
GCF_000210075.1	No 16S rRNA genes
GCF_000210715.1	No 16S rRNA genes
GCF_000210735.1	No 16S rRNA genes
GCF_000211155.1	No 16S rRNA genes
GCF_027923485.1	poor assembly quality, 16S rRNA locus misassembly, verified visually using Tablet and SRA data from run DRR311026
GCF_030643825.1	This record was removed by RefSeq staff. Please contact info@ncbi.nlm.nih.gov for further details. Reason: GenBank release was suppressed
GCF_033370915.1	This record was removed by RefSeq staff. Please contact info@ncbi.nlm.nih.gov for further details. Reason: GenBank release was suppressed
GCF_033371715.1	This record was removed by RefSeq staff. Please contact info@ncbi.nlm.nih.gov for further details. Reason: GenBank release was suppressed
GCF_033372575.1	This record was removed by RefSeq staff. Please contact info@ncbi.nlm.nih.gov for further details. Reason: GenBank release was suppressed
GCF_034043495.1	This record was removed by RefSeq staff. Please contact info@ncbi.nlm.nih.gov for further details. Reason: GenBank release was suppressed
GCF_963360665.1	Poor assembly quality
GCF_041877085.1	RefSeq GCF_041877085.1 is suppressed
GCF_000988385.1	rrn operon deleted, withheld genome adopted from rrnDB 5.9
GCF_000988465.1	rrn operon deleted, withheld genome adopted from rrnDB 5.9
GCF_000988355.1	rrn operon deleted, withheld genome adopted from rrnDB 5.9
GCF_000988425.1	rrn operon deleted, withheld genome adopted from rrnDB 5.9
GCF_047323925.1	Poor assembly quality. This "plasmid" is improperly assembled for sure: NZ_CP178757.1
GCF_048320865.1	the longest 16S rRNA gene is 1192 bp long and is 5'-truncated
GCF_048320875.1	the longest 16S rRNA gene is 1183 bp long and is 5'-truncated
GCF_052954775.1	Poor assembly quality
GCF_013341255.1	only rRNA and tRNA genes on a plasmid
GCF_014048285.1	only rRNA and tRNA genes on a plasmid
GCF_014048385.1	only rRNA and tRNA genes on a plasmid
GCF_018741145.1	only rRNA and tRNA genes on a plasmid
GCF_018742265.1	only rRNA and tRNA genes on a plasmid
GCF_022370935.1	only rRNA and tRNA genes on a plasmid
GCF_024499285.1	only rRNA and tRNA genes on a plasmid
GCF_024610615.1	only rRNA and tRNA genes on a plasmid
GCF_026314945.1	only rRNA and tRNA genes on a plasmid
GCF_033449965.1	only rRNA and tRNA genes on a plasmid
GCF_036417315.1	only rRNA and tRNA genes on a plasmid
GCF_036418335.1	only rRNA and tRNA genes on a plasmid
GCF_038561975.1	only rRNA and tRNA genes on a plasmid
GCF_039556175.1	only rRNA and tRNA genes on a plasmid
GCF_039619385.1	only rRNA and tRNA genes on a plasmid
GCF_039619395.1	only rRNA and tRNA genes on a plasmid
GCF_039619405.1	only rRNA and tRNA genes on a plasmid
GCF_039619495.1	only rRNA and tRNA genes on a plasmid
GCF_039619585.1	only rRNA and tRNA genes on a plasmid
GCF_039619595.1	only rRNA and tRNA genes on a plasmid
GCF_039619745.1	only rRNA and tRNA genes on a plasmid
GCF_042019215.1	only rRNA and tRNA genes on a plasmid
GCF_042937815.1	only rRNA and tRNA genes on a plasmid
GCF_043950685.1	only rRNA and tRNA genes on a plasmid
GCF_043950715.1	only rRNA and tRNA genes on a plasmid
GCF_044054585.1	only rRNA and tRNA genes on a plasmid
GCF_044911575.1	only rRNA and tRNA genes on a plasmid
GCF_045924905.1	only rRNA and tRNA genes on a plasmid
GCF_047115225.1	only rRNA and tRNA genes on a plasmid
GCF_047302555.1	only rRNA and tRNA genes on a plasmid
GCF_050367445.1	only rRNA and tRNA genes on a plasmid
GCF_050881585.1	only rRNA and tRNA genes on a plasmid
GCF_051669205.1	only rRNA and tRNA genes on a plasmid
GCF_051861385.1	only rRNA and tRNA genes on a plasmid
GCF_051912505.1	only rRNA and tRNA genes on a plasmid
GCF_963360705.1	only rRNA and tRNA genes on a plasmid
GCF_001718835.1	more than 1% of either chromosome or rrn-containing plasmid has zero read coverage
GCF_029625475.1	more than 1% of either chromosome or rrn-containing plasmid has zero read coverage
GCF_038693235.1	more than 1% of either chromosome or rrn-containing plasmid has zero read coverage
GCF_012647365.1	chromosome or rrn-containing plasmid is not circular (reads show this) despite the annotaation
GCF_002059225.1	chromosome or rrn-containing plasmid is not circular (reads show this) despite the annotaation
GCF_005222145.1	chromosome or rrn-containing plasmid is not circular (reads show this) despite the annotaation
GCF_012295505.1	chromosome or rrn-containing plasmid is not circular (reads show this) despite the annotaation
GCF_002068175.1	chromosome or rrn-containing plasmid is not circular (reads show this) despite the annotaation
GCF_015710975.1	chromosome or rrn-containing plasmid is not circular (reads show this) despite the annotaation
GCF_005222205.1	chromosome or rrn-containing plasmid is not circular (reads show this) despite the annotaation
GCF_900637865.1	chromosome or rrn-containing plasmid is not circular (reads show this) despite the annotaation
GCF_015710815.1	chromosome or rrn-containing plasmid is not circular (reads show this) despite the annotaation
GCF_017086545.1	chromosome or rrn-containing plasmid is not circular (reads show this) despite the annotaation
GCF_900637875.1	chromosome or rrn-containing plasmid is not circular (reads show this) despite the annotaation
GCF_036512515.1	chromosome or rrn-containing plasmid is not circular (reads show this) despite the annotaation
GCF_005222165.1	chromosome or rrn-containing plasmid is not circular (reads show this) despite the annotaation
GCF_017363615.2	chromosome or rrn-containing plasmid is not circular (reads show this) despite the annotaation
GCF_019048245.1	chromosome or rrn-containing plasmid is not circular (reads show this) despite the annotaation
GCF_016454345.1	chromosome or rrn-containing plasmid is not circular (reads show this) despite the annotaation
